text,type,category,priority
WiFi not working in my dorm at Arba Minch University since morning,SERVICE,ICT,HIGH
Internet connection keeps dropping every 5 minutes in the library,SERVICE,ICT,MEDIUM
Can't login to student portal need urgent help for registration,SERVICE,ICT,HIGH
Lab computers frozen during my experiment data lost,SERVICE,ICT,HIGH
Why is the WiFi so slow in classroom block A during lectures,SERVICE,ICT,MEDIUM
Dorm WiFi password changed without notice can't connect,SERVICE,ICT,MEDIUM
No internet access in dormitory block C entire floor,SERVICE,ICT,HIGH
Library printer offline won't print my assignment,SERVICE,ICT,LOW
Student email server down can't send group project,SERVICE,ICT,HIGH
WiFi signal too weak in my room 305 block B,SERVICE,ICT,LOW
Online exam platform crashed 10 minutes before test,SERVICE,ICT,HIGH
Cafeteria WiFi not working need to check timetable,SERVICE,ICT,LOW
Portal showing wrong grades need correction,SERVICE,ICT,MEDIUM
Network overloaded every evening in dorms,SERVICE,ICT,MEDIUM
Lab software license expired can't run simulation,SERVICE,ICT,HIGH
WiFi router red light in main cafeteria,SERVICE,ICT,HIGH
Forgot student portal password urgent reset needed,SERVICE,ICT,LOW
Video streaming buffering during online class,SERVICE,ICT,LOW
Complete campus WiFi outage during exam week,SERVICE,ICT,HIGH
Registration system timeout every attempt,SERVICE,ICT,HIGH
Light bulb burnt out in dorm room 412,SERVICE,DORMITORY,LOW
Water leaking from ceiling in bathroom floor wet,SERVICE,DORMITORY,HIGH
Broken window in dorm letting mosquitoes enter,SERVICE,DORMITORY,HIGH
Mattress torn need replacement urgently,SERVICE,DORMITORY,MEDIUM
Main door lock broken can't secure room,SERVICE,DORMITORY,HIGH
No hot water in showers third day now,SERVICE,DORMITORY,HIGH
Ceiling fan wobbling dangerously might fall,SERVICE,DORMITORY,HIGH
AC unit leaking water on floor slippery,SERVICE,DORMITORY,HIGH
Electrical socket sparking when plugging charger,SERVICE,DORMITORY,HIGH
Shower head completely broken no water pressure,SERVICE,DORMITORY,MEDIUM
Toilet won't flush water overflowing,SERVICE,DORMITORY,HIGH
Bed frame collapsed can't sleep properly,SERVICE,DORMITORY,HIGH
Radiator making loud banging noise at night,SERVICE,DORMITORY,MEDIUM
Curtain rod fallen can't block sunlight,SERVICE,DORMITORY,LOW
Sink completely clogged dirty water standing,SERVICE,DORMITORY,MEDIUM
Common kitchen fridge not cooling food spoiling,SERVICE,DORMITORY,MEDIUM
Fire alarm false beeping every hour,SERVICE,DORMITORY,HIGH
Wardrobe door hinges broken won't close,SERVICE,DORMITORY,LOW
Black mold growing on bathroom walls health risk,SERVICE,DORMITORY,HIGH
Power outlet dead in entire room,SERVICE,DORMITORY,MEDIUM
Food served cold in main cafeteria again,COMPLAINT,CAFETERIA,LOW
Lunch line taking 45 minutes too long,SERVICE,CAFETERIA,MEDIUM
Vegetables overcooked mushy every meal,COMPLAINT,CAFETERIA,LOW
Cashier gave wrong change shorted 50 birr,COMPLAINT,CAFETERIA,MEDIUM
No vegetarian injera available lunch time,COMPLAINT,CAFETERIA,HIGH
Staff forgot my order waited 30 minutes,COMPLAINT,CAFETERIA,MEDIUM
Shiro tastes sour definitely spoiled,COMPLAINT,CAFETERIA,HIGH
Cafeteria closed 30 minutes early no warning,COMPLAINT,CAFETERIA,HIGH
Flies swarming food counters unsanitary,COMPLAINT,CAFETERIA,HIGH
Portion sizes smaller but price same,COMPLAINT,CAFETERIA,LOW
Kitfo meat smelled rotten got sick,COMPLAINT,CAFETERIA,HIGH
Cafeteria worker shouted at me for asking extra sauce,COMPLAINT,CAFETERIA,MEDIUM
No clean plates available lunch rush,COMPLAINT,CAFETERIA,MEDIUM
Rice undercooked hard crunchy pieces,COMPLAINT,CAFETERIA,LOW
Same menu every day no variety boring,COMPLAINT,CAFETERIA,LOW
Milk carton expired on breakfast line,COMPLAINT,CAFETERIA,HIGH
Doro wat too spicy burned my mouth,COMPLAINT,CAFETERIA,LOW
No clean tables available sitting on floor,COMPLAINT,CAFETERIA,MEDIUM
Chairs broken in dining hall falling apart,SERVICE,CAFETERIA,MEDIUM
Projector bulb dead in lecture hall 101,SERVICE,CLASSROOM,HIGH
Whiteboard markers dried out no writing,SERVICE,CLASSROOM,LOW
AC too cold wearing jacket in class,SERVICE,CLASSROOM,MEDIUM
Microphone feedback loud screeching noise,SERVICE,CLASSROOM,HIGH
Classroom door handle broken stuck inside,SERVICE,CLASSROOM,HIGH
No working power sockets for laptops,SERVICE,CLASSROOM,MEDIUM
Window stuck open birds entering class,SERVICE,CLASSROOM,HIGH
Chalk dust everywhere breathing issues,SERVICE,CLASSROOM,MEDIUM
Lights flickering can't see projector,SERVICE,CLASSROOM,HIGH
Desks wobbly can't write exam properly,SERVICE,CLASSROOM,MEDIUM
Smartboard unresponsive touch not working,SERVICE,CLASSROOM,HIGH
Ventilation fan rattling distracting lectures,SERVICE,CLASSROOM,MEDIUM
Wall clock stopped 2 hours fast,SERVICE,CLASSROOM,LOW
Laser pointer battery dead professor can't use,SERVICE,CLASSROOM,LOW
Broken chair collapsed during lecture,SERVICE,CLASSROOM,HIGH
Bookshelf leaning might fall on students,SERVICE,LIBRARY,HIGH
Library photocopier paper jam again,SERVICE,LIBRARY,MEDIUM
Reading lamps dim can't study properly,SERVICE,LIBRARY,LOW
Elevator broken students carrying books stairs,SERVICE,LIBRARY,HIGH
